index,filename,original,year,category,width,height,context
1,2026/Introduction/2026_Introduction_image001.jpeg,media/image1.jpeg,2026,Introduction,1052,631,"Lecture Hall 0114, Building 25, Southwest University, Chongqing, China | We are pleased to invite you to participate in the 8th Spring School on Engineering Trustworthy Software Systems (SETSS 2026). The school will be held at the School of Computer and Information Science (CIS), Southwest Universit"
2,2017/Overview/2017_Overview_image002.jpeg,media/image2.jpeg,2017,Overview,1078,692,"We are pleased to invite you to participate in the 8th Spring School on Engineering Trustworthy Software Systems (SETSS 2026). The school will be held at the School of Computer and Information Science (CIS), Southwest University (Chongqing, China), and will offer lectures on leading-edge research in"
3,2018/Overview/2018_Overview_image003.jpeg,media/image3.jpeg,2018,Overview,1078,647,See more information on: http://www.rise-swu.cn/SETSS2026 | SETSS 2017 (Chongqing) | SETSS 2018 (Chongqing)
4,2019/Overview/2019_Overview_image004.jpeg,media/image4.jpeg,2019,Overview,1267,634,SETSS 2017 (Chongqing) | SETSS 2018 (Chongqing) | SETSS 2019 (Chongqing)
5,2024/Overview/2024_Overview_image005.jpeg,media/image5.jpeg,2024,Overview,1267,830,SETSS 2018 (Chongqing) | SETSS 2019 (Chongqing) | SETSS 2024 (Chongqing)
6,2025/Overview/2025_Overview_image006.jpeg,media/image6.jpeg,2025,Overview,275,330,SETSS 2025 (Beijing) | Schedule | Courses
7,2026/Lecturers/2026_Lecturers_image007.jpeg,media/image7.jpeg,2026,Lecturers,437,437,"This course introduces the fundamentals of automata learning and its close connection to black-box testing, using the open-source tool AALpy (https://github.com/DES-Lab/AALpy). The presented learning-based testing approach combines the active inference of finite-state models with systematic model-ba"
8,2026/Lecturers/2026_Lecturers_image008.jpeg,media/image8.jpeg,2026,Lecturers,229,300,"Prof. Jonathan P. Bowen, MA Oxon, FBCS, FRSA, is an Emeritus Professor of Computing at London South Bank University, UK, Chair of Museophile Limited, a museum and IT consultancy company that he founded in 2002, and an Adjunct Professor at Southwest University, China. He has been a visiting scholar/p"
9,2026/Lecturers/2026_Lecturers_image009.jpeg,media/image9.jpeg,2026,Lecturers,306,409,"Wei Dong is the professor in College of Computer Science and Technology, National University of Defense Technology. His research interests include program analysis and verification, program synthesis, and runtime verification. He has authored or coauthored more than 80 papers in conferences and jour"
10,2026/Lecturers/2026_Lecturers_image010.jpeg,media/image10.jpeg,2026,Lecturers,311,467,"Einar Broch Johnsen is a Professor and head of the research group on Reliable Systems at the Department of Informatics, University of Oslo. His research interests include programming models, semantics and methodology; program specification and modeling; formal methods and associated theory; model-ba"
11,2026/Lecturers/2026_Lecturers_image011.jpeg,media/image11.jpeg,2026,Lecturers,370,371,More recently the new branch  UPPAAL Stratego offers a neuro-symbolic approach to achieve safe and  near-optimal decision tree control strategies.   The tool combines a dynamic partition-refinement Q-learning algorithm with symbolic methods for synthesizing  safety shields that ensures correctness b
12,2026/Lecturers/2026_Lecturers_image012.png,media/image12.png,2026,Lecturers,563,375,"2. We propose a development method based on an agent reference architecture that characterizes autonomous behavior as the result of the composition of a set of independent functions. The behavior results from the orchestration of reactive behavior producing actions in response to external stimuli, a"
13,2026/Lecturers/2026_Lecturers_image013.jpeg,media/image13.jpeg,2026,Lecturers,328,438,"Moshe Y. Vardi is University Professor and the George Distinguished Service Professor in Computational Engineering at Rice University. His research focuses on the interface of mathematical logic and computation -- inluding database theory, hardware/software design and verification, multi-agent syste"
14,2026/Lecturers/2026_Lecturers_image014.jpeg,media/image14.jpeg,2026,Lecturers,102,206,"Emily Yu is an Assistant Professor in the Leiden Institute of Advanced Computer Science at Leiden University. Her research focuses on system verification and trustworthy AI, with a focus on advancing formal methods as first-order design principles for system correctness and security. She joined Leid"
15,2026/Lecturers/2026_Lecturers_image015.jpeg,media/image15.jpeg,2026,Lecturers,640,421,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
16,2017/Course_Moments/2017_Course_Moments_image016.jpeg,media/image16.jpeg,2017,Course_Moments,640,442,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
17,2017/Course_Moments/2017_Course_Moments_image017.jpeg,media/image17.jpeg,2017,Course_Moments,640,433,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
18,2017/Course_Moments/2017_Course_Moments_image018.jpeg,media/image18.jpeg,2017,Course_Moments,640,711,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
19,2017/Course_Moments/2017_Course_Moments_image019.jpeg,media/image19.jpeg,2017,Course_Moments,640,419,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
20,2017/Course_Moments/2017_Course_Moments_image020.jpeg,media/image20.jpeg,2017,Course_Moments,640,443,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
21,2017/Course_Moments/2017_Course_Moments_image021.jpeg,media/image21.jpeg,2017,Course_Moments,1268,846,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
22,2017/Course_Moments/2017_Course_Moments_image022.jpeg,media/image22.jpeg,2017,Course_Moments,1269,952,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
23,2017/Course_Moments/2017_Course_Moments_image023.jpeg,media/image23.jpeg,2017,Course_Moments,1268,846,"Abstract | Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models f"
24,2017/Social_Moments/2017_Social_Moments_image024.jpeg,media/image24.jpeg,2017,Social_Moments,1268,846,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
25,2017/Social_Moments/2017_Social_Moments_image025.jpeg,media/image25.jpeg,2017,Social_Moments,1268,846,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
26,2017/Social_Moments/2017_Social_Moments_image026.jpeg,media/image26.jpeg,2017,Social_Moments,1268,846,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
27,2017/Social_Moments/2017_Social_Moments_image027.jpeg,media/image27.jpeg,2017,Social_Moments,1268,846,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
28,2017/Social_Moments/2017_Social_Moments_image028.jpeg,media/image28.jpeg,2017,Social_Moments,1268,846,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
29,2017/Social_Moments/2017_Social_Moments_image029.jpeg,media/image29.jpeg,2017,Social_Moments,1269,714,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
30,2017/Social_Moments/2017_Social_Moments_image030.jpeg,media/image30.jpeg,2017,Social_Moments,1269,714,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
31,2017/Social_Moments/2017_Social_Moments_image031.jpeg,media/image31.jpeg,2017,Social_Moments,1269,714,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
32,2017/Social_Moments/2017_Social_Moments_image032.jpeg,media/image32.jpeg,2017,Social_Moments,1269,714,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
33,2017/Social_Moments/2017_Social_Moments_image033.jpeg,media/image33.jpeg,2017,Social_Moments,1269,714,"Timed systems are widely deployed in industrial systems, especially in safety-critical domains. Formal verification is an important technique for ensuring the reliability of such systems, where model construction is crucial for subsequent analysis. Model learning can infer formal models from system "
34,2018/Course_Moments/2018_Course_Moments_image034.jpeg,media/image34.jpeg,2018,Course_Moments,1265,816,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
35,2018/Course_Moments/2018_Course_Moments_image035.jpeg,media/image35.jpeg,2018,Course_Moments,750,422,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
36,2018/Course_Moments/2018_Course_Moments_image036.jpeg,media/image36.jpeg,2018,Course_Moments,1269,828,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
37,2018/Course_Moments/2018_Course_Moments_image037.jpeg,media/image37.jpeg,2018,Course_Moments,1280,896,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
38,2018/Course_Moments/2018_Course_Moments_image038.jpeg,media/image38.jpeg,2018,Course_Moments,750,422,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
39,2018/Course_Moments/2018_Course_Moments_image039.jpeg,media/image39.jpeg,2018,Course_Moments,750,422,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
40,2018/Course_Moments/2018_Course_Moments_image040.jpeg,media/image40.jpeg,2018,Course_Moments,750,422,SETSS 2017 Course moments | SETSS 2017 Social Moments | SETSS 2018 Course moments
41,2018/Social_Moments/2018_Social_Moments_image041.jpeg,media/image41.jpeg,2018,Social_Moments,750,422,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
42,2018/Social_Moments/2018_Social_Moments_image042.jpeg,media/image42.jpeg,2018,Social_Moments,1267,885,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
43,2018/Social_Moments/2018_Social_Moments_image043.jpeg,media/image43.jpeg,2018,Social_Moments,1274,900,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
44,2018/Social_Moments/2018_Social_Moments_image044.jpeg,media/image44.jpeg,2018,Social_Moments,1274,887,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
45,2018/Social_Moments/2018_Social_Moments_image045.jpeg,media/image45.jpeg,2018,Social_Moments,1264,895,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
46,2018/Social_Moments/2018_Social_Moments_image046.jpeg,media/image46.jpeg,2018,Social_Moments,1272,889,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
47,2018/Social_Moments/2018_Social_Moments_image047.jpeg,media/image47.jpeg,2018,Social_Moments,1269,900,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
48,2018/Social_Moments/2018_Social_Moments_image048.jpeg,media/image48.jpeg,2018,Social_Moments,1263,847,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
49,2018/Social_Moments/2018_Social_Moments_image049.jpeg,media/image49.jpeg,2018,Social_Moments,750,500,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
50,2018/Social_Moments/2018_Social_Moments_image050.jpeg,media/image50.jpeg,2018,Social_Moments,750,563,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
51,2018/Social_Moments/2018_Social_Moments_image051.jpeg,media/image51.jpeg,2018,Social_Moments,1270,893,SETSS 2017 Social Moments | SETSS 2018 Course moments | SETSS 2018 Social Moments
52,2019/Course_Moments/2019_Course_Moments_image052.jpeg,media/image52.jpeg,2019,Course_Moments,1270,846,SETSS 2018 Course moments | SETSS 2018 Social Moments | SETSS 2019 Course moments
53,2019/Course_Moments/2019_Course_Moments_image053.jpeg,media/image53.jpeg,2019,Course_Moments,1269,1006,SETSS 2018 Course moments | SETSS 2018 Social Moments | SETSS 2019 Course moments
54,2019/Course_Moments/2019_Course_Moments_image054.jpeg,media/image54.jpeg,2019,Course_Moments,1269,944,SETSS 2018 Course moments | SETSS 2018 Social Moments | SETSS 2019 Course moments
55,2019/Course_Moments/2019_Course_Moments_image055.jpeg,media/image55.jpeg,2019,Course_Moments,1270,846,SETSS 2018 Course moments | SETSS 2018 Social Moments | SETSS 2019 Course moments
56,2019/Course_Moments/2019_Course_Moments_image056.jpeg,media/image56.jpeg,2019,Course_Moments,1269,839,SETSS 2018 Course moments | SETSS 2018 Social Moments | SETSS 2019 Course moments
57,2019/Course_Moments/2019_Course_Moments_image057.jpeg,media/image57.jpeg,2019,Course_Moments,1269,952,SETSS 2018 Course moments | SETSS 2018 Social Moments | SETSS 2019 Course moments
58,2019/Social_Moments/2019_Social_Moments_image058.jpeg,media/image58.jpeg,2019,Social_Moments,1268,846,SETSS 2018 Social Moments | SETSS 2019 Course moments | SETSS 2019 Social Moments
59,2019/Social_Moments/2019_Social_Moments_image059.jpeg,media/image59.jpeg,2019,Social_Moments,1268,846,SETSS 2018 Social Moments | SETSS 2019 Course moments | SETSS 2019 Social Moments
60,2019/Social_Moments/2019_Social_Moments_image060.jpeg,media/image60.jpeg,2019,Social_Moments,1268,846,SETSS 2018 Social Moments | SETSS 2019 Course moments | SETSS 2019 Social Moments
61,2019/Social_Moments/2019_Social_Moments_image061.jpeg,media/image61.jpeg,2019,Social_Moments,1268,846,SETSS 2018 Social Moments | SETSS 2019 Course moments | SETSS 2019 Social Moments
62,2026/Institution_Intro/2026_Institution_Intro_image062.jpeg,media/image62.jpeg,2026,Institution_Intro,1377,918,"Our goal is to build RISE into a place where every member feels and enjoys its values, and where international scholars meet to exchange ideas and work together to produce high impact research and conduct technology innovation, and contribute to the national and regional economic and social developm"
63,2026/Institution_Intro/2026_Institution_Intro_image063.jpeg,media/image63.jpeg,2026,Institution_Intro,1378,775,"Our goal is to build RISE into a place where every member feels and enjoys its values, and where international scholars meet to exchange ideas and work together to produce high impact research and conduct technology innovation, and contribute to the national and regional economic and social developm"
